,MAP值
第0-3个时间片,0.11748288632224523
第1-4个时间片,0.17106043073128213
第2-5个时间片,0.17140517769380234
第3-6个时间片,0.05136716364382675
第4-7个时间片,0.050855286371468876
第5-8个时间片,0.09375574201093394
第6-9个时间片,0.08500882358248224
mean_MAP,0.10584793005086308
